time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-02-17T02:55:45.330Z,38.8361664,-122.7856674,0.98,2.15,md,8,126,0.02915,0.03,nc,nc73143081,2019-02-17T10:58:42.305Z,"6km WNW of Cobb, CA",earthquake,0.69,1.64,0.21,7,automatic,nc,nc
2019-02-17T02:42:46.354Z,60.8223,-150.8255,29.5,1.4,ml,,,,0.77,ak,ak01927f8mhn,2019-02-17T02:47:41.663Z,"29km ENE of Nikiski, Alaska",earthquake,,0.5,,,automatic,ak,ak
2019-02-17T02:22:44.640Z,38.8330002,-122.7835007,0.8,2.11,md,7,179,0.02664,0.02,nc,nc73143076,2019-02-17T02:42:03.533Z,"5km WNW of Cobb, CA",earthquake,0.67,1.15,0.17,7,automatic,nc,nc
2019-02-17T02:13:39.720Z,25.2789,124.6484,10,5,mb,,89,1.692,0.74,us,us2000jj18,2019-02-17T02:31:48.040Z,"83km NW of Hirara, Japan",earthquake,8.3,1.9,0.079,51,reviewed,us,us
2019-02-17T02:03:09.780Z,18.963,-66.2546,18,2.62,md,13,275,0.5583,0.35,pr,pr2019048002,2019-02-17T06:23:35.040Z,"55km N of Brenas, Puerto Rico",earthquake,4.21,8.39,0.41,12,reviewed,pr,pr
2019-02-17T02:00:53.030Z,40.4691667,-111.9381667,4.6,2.41,md,42,38,0.01849,0.2,uu,uu60313027,2019-02-17T15:41:16.967Z,"2km S of Bluffdale, Utah",earthquake,0.36,0.67,0.191,35,reviewed,uu,uu
2019-02-17T01:51:17.340Z,36.0371667,-117.809,0.39,2.24,ml,22,86,0.03741,0.19,ci,ci37533058,2019-02-17T10:19:17.299Z,"13km E of Coso Junction, CA",earthquake,0.27,0.46,0.152,26,automatic,ci,ci
2019-02-17T01:29:54.430Z,34.0535,-117.5215,4.06,1.22,ml,26,44,0.02961,0.34,ci,ci37533050,2019-02-17T01:33:24.516Z,"6km NW of Glen Avon, CA",earthquake,0.51,1.29,0.296,29,automatic,ci,ci
2019-02-17T01:28:36.430Z,61.3752,-150.03,33.3,1.2,ml,,,,0.53,ak,ak01927ek663,2019-02-17T01:34:47.801Z,"16km SSW of Big Lake, Alaska",earthquake,,0.3,,,automatic,ak,ak
2019-02-17T01:24:35.220Z,36.6786652,-121.300499,2.6,1.92,md,13,184,0.04596,0.04,nc,nc73143071,2019-02-17T01:55:05.260Z,"12km S of Tres Pinos, CA",earthquake,0.49,1.49,0.21,12,automatic,nc,nc
